,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Last Name,Author First Name,Other Authors,Newspaper/Publisher,Publication Year,Article Title,"Publication Location (City, County, State) Where was the article published? ","Contextual Location (City, County, State) Where is the article talking about? If mutliple locations are referenced, list them all. If national, write national","News Source (e.g. Google, Ethnic News Watch, etc)",Date of Publication,"Page # (if applicable, if not, write N/A)",Type,Link (paste to Google drive upload),MMIWG mentioned (1=y 0=n),"discussion of MMIWG movement (1,0)","specifc case (1, 0)","multiple cases (1, 0)","coverage of legal protection or policy (1,0)","News article (1,0)","video/audio (1,0)","national (1,0)","regional (1,0)","local (1,0)","family or friends of victim referenced (1, 0)","details on victim life (1, 0)","details on perpetrator (1, 0)",# of govt officials referenced,# of ordinary people referenced,# of experts referenced ,# of id male,# of id female,# of gender unID
Simpson,Mike,,Idaho State Journal ,2024,Opinion: The importance of addressing the ongoing missing and murdered indigenous women crisis,"Pocatello, Bannock County, ID","Idaho, National",Access World News,"November 23, 2024",1,Newspaper,https://drive.google.com/file/d/165mqDI0W7dMW095FNa0XCORyNg2vMad7/view?usp=share_link,1,1,0,1,1,,,,,,1,0,0,,,,,,
Calder,Taylor S.,,Idaho State Journal ,2024,RAISING NATIVE VOICES - Three Fort Hall students reach speech and debate nationals in historic first,"Pocatello, Bannock County, ID","Fort Hall, Bingham County, ID",Access World News,"April 13, 2024",1,Newspaper,https://drive.google.com/file/d/18cxEhqLuY9mJGs3MhxJI02toeZpqyZVu/view?usp=share_link,1,0,0,1,0,,,,,,1,0,0,,,,,,
Harris,Shelbie,,Idaho State Journal ,2021,Local event aims to raise awareness about missing and murdered Native Americans ,"Pocatello, Bannock County, ID","Fort Hall, Bingham County, ID, Idaho, National",Access World News,"March 19, 2021",1,Newspaper,https://drive.google.com/file/d/1TEqmqKj018zFsCjHGLOJT7HxCIwfmAwJ/view?usp=share_link,1,1,1,1,1,,,,,,1,1,1,,,,,,
Hassanein,Nada,,The Idaho Statesman Today's Edition ,2025,Domestic violence in communities is focus of new survey,"Boise, Ada County, ID",National,Access World News,"November 10, 2025","49, 50",Newspaper-Image Edition,https://drive.google.com/file/d/1Ye0J65_ZT78y4kXrVy3z4mUzmUAB834J/view?usp=share_link,1,1,0,1,0,,,,,,0,1,1,,,,,,
Charles,Sephora,,The Idaho Statesman Today's Edition ,2025,Thousands of Indigenous families seek answers about missing loved ones in Washington State,"Boise, Ada County, ID","Tacoma, Pierce County, WA, Yakima County, WA, King County, WA, La Grande, Union County, OR, Washington State, OR",Access World News,"September 13, 2025",93-100,Newspaper-Image Edition,https://drive.google.com/file/d/1tJiAjYkzs21EXgUeo6TXfvjHGb32kNmi/view?usp=share_link,1,1,1,1,1,,,,,,1,1,1,,,,,,
Woolfe,Zachary,,The Idaho Statesman Today's Edition ,2024,NY musician builfing great Native American Songbook,"Boise, Ada County, ID","Rochester, Monroe County, NY",Access World News,"November 24, 2024",9B,Newspaper-Image Edition,https://drive.google.com/file/d/1MMjXByqfwlfcsizVuyo_JF48H4CTylSD/view?usp=share_link,1,1,1,1,0,,,,,,1,0,0,,,,,,
Del Rosario,Alexandra,"Jessica Gelt, Yvonne Villarreal",The Idaho Statesman Today's Edition ,2024,"The top 6 highlights of the 2024 Emmys, according to some who were there","Boise, Ada County, ID","Los Angeles, Los Angeles County, CA",Access World News,"September 17, 2024",125,Newspaper-Image Edition,https://drive.google.com/file/d/1Z9FXH9MJ0VIIJUzl6Led6OwPYJAemwbr/view?usp=share_link,1,1,0,1,0,,,,,,1,1,0,,,,,,
Woolfe,Zachary ,,The Idaho Statesman ,2024,NY musician builfing great Native American Songbook,"Boise, Ada County, ID","Rochester, Monroe County, NY",Access World News,"November 24, 2024",9B,Newspaper-Image Edition,https://drive.google.com/file/d/1djQR8dM5a54mayct6IwFjD3DYSEyZUy4/view?usp=share_link,1,1,1,1,0,,,,,,1,0,0,,,,,,
Wiley,Hannah,,The Idaho Statesman ,2023,"After recent killings on California reservation, tribes ask for help to stem violence ","Boise, Ada County, ID","Mendocino/Del Norte/Humboldt County, CA, National",Access World News,"May 14, 2023",11,Newspaper-Image Edition,https://drive.google.com/file/d/1M_6vWRn9L2nPBy0S2QN8T8P449w4m7Md/view?usp=share_link,1,1,1,1,1,,,,,,1,1,1,,,,,,
Wiley,Hannah,,The Idaho Statesman ,2023,Her mother disappeared. The her babysitter. A lawman fears she might be next. ,"Boise, Ada County, ID","Mckinleyville, Humboldt County, CA, National",Access World News,"March 19, 2023","5,6",Newspaper-Image Edition,https://drive.google.com/file/d/1hYhAMAt4JMXS8e82siqwOZmyc8h6vJsQ/view?usp=share_link,1,1,1,1,1,,,,,,1,1,0,,,,,,
Reese,Dianna,,The Idaho Statesman,2022,"Navajo woman walks from Arizona to D.C. to spotlight her missing aunt, other victims ","Boise, Ada County, ID","Arizona, Washington, D.C., National",Access World News,"October 14, 2022","8,9",Newspaper-Image Edition,https://drive.google.com/file/d/1cxUmyFvn9nqFCjiLFqXixmRHG2O0Sser/view?usp=share_link,1,1,1,1,1,,,,,,1,1,0,,,,,,
Zaz,Hollander,,The Idaho Statesman,2022,More than 2 dozen Alaska places will get new names to erase derogatory word for Native women,"Boise, Ada County, ID","Alaska, National",Access World News,"March 26, 2022",3,Newspaper-Image Edition,https://drive.google.com/file/d/1Ko12UBoN74AAKv5KmX-ZO7Dm32aEWq9u/view?usp=share_link,1,1,0,1,1,,,,,,1,0,0,,,,,,
Marquez,Deron,"Keely Marquez, Ted Gover",The Idaho Statesman,2021,"How to deal with the violence against Indigenous women, girls ","Boise, Ada County, ID","Washington, D.C, National",Access World News,"November 13, 2022",4A,Newspaper-Image Edition,https://drive.google.com/file/d/1moqymkzB1d65BNocIPg_vKxO2eB3zTn8/view?usp=share_link,1,1,0,1,1,,,,,,1,0,0,,,,,,
Fonseca,Felicia,Susan Montoya Bryan,The Idaho Statesman,2021,"Families, advocates mark day of awareness for Native victims ","Boise, Ada County, ID","Albuquerque, Bernalillo County, NM, Washington, D.C., National",Access World News,"May 6, 2021",8,Newspaper-Image Edition,https://drive.google.com/file/d/11zqqG9fTCWEo4FAn6Z7kZIH_o2k40a5U/view?usp=share_link,1,1,0,1,1,,,,,,1,0,0,,,,,,
Nowell,Cecilia,,The Idaho Statesman,2021,Advocates: Interior program to fight 'crisis' of violence against Indigenous women,"Boise, Ada County, ID","Canada, United States",Access World News,"April 21, 2021",18,Newspaper-Image Edition,https://drive.google.com/file/d/1HM5fLeyYiC9OqGYjLcd_5IxkOW9VxX3d/view?usp=share_link,1,1,1,1,1,,,,,,1,1,0,,,,,,
Oldham,Diana,,The Idaho Statesman,2020,End the oppression of native women,"Boise, Ada County, ID","Canada, United States",Access World News,"June 10, 2020",5A,Newspaper-Image Edition,https://drive.google.com/file/d/15zP489Cfsb78LQNJ5EhuE_RV1-uihshM/view?usp=share_link,1,0,1,1,1,,,,,,0,1,1,,,,,,
Sewell,Cynthia,,The Idaho Statesman,2020,"Idaho tribes, state officials partner to address violence","Boise, Ada County, ID","Idaho, National",Access World News,"February 20, 2020",4A,Newspaper-Image Edition,https://drive.google.com/file/d/1f96mu8JsuZ6EmqK24HXyV3JbOmhypq9Z/view?usp=share_link,1,1,0,1,1,,,,,,0,0,0,,,,,,
Sewell,Cynthia,,The Idaho Statesman,2020,"Lawmaker addresses missing, murdered indigenous people crisis","Boise, Ada County, ID","Idaho, National",Access World News,"February 13, 2020",4A,Newspaper-Image Edition,https://drive.google.com/file/d/1ip3gImw1VWW9Yq4aJL4mpXZsSdso7Ofu/view?usp=share_link,1,1,0,1,1,,,,,,0,0,0,,,,,,
Fonseca,Felicia,,The Idaho Statesman,2020,Movement to highlight missing Native women expands to Native men,"Boise, Ada County, ID","Arizona, Billings, Yellowstone County, MT, National",Access World News,"Januaray 28, 2020",10,Newspaper-Image Edition,https://drive.google.com/file/d/1Z0AiVe6mngNSljfH8Sg9tFG1azYCiCFb/view?usp=share_link,1,1,1,1,1,,,,,,1,1,0,,,,,,
Healy,Jack,,The Idaho Statesman ,2020,Crisis boils over as 28th Native woman vanishes,"Boise, Ada County, ID","Big Horn County, MT",Access World News,"January 20, 2020","1, 2",Newspaper-Image Edition,https://drive.google.com/file/d/1KFEccIE7_Ax1_Z3vGnBQ5pSNfier-xpb/view?usp=share_link,1,1,1,1,1,,,,,,1,1,1,,,,,,
Healy,Jack,,The Idaho Statesman,2019,A crisis for missing Native women - and a new one when they're found ,"Boise, Ada County, ID","Gallup, McKinkley County, NM, National",Acccess World News,"December 25, 2019","9, 10",Newspaper-Image Edition,https://drive.google.com/file/d/1iZSZrCR2Oz2gURmxjp6JZAIt_iPfxLiU/view?usp=share_link,1,1,1,1,1,,,,,,1,1,0,,,,,,
Sewell,Cynthia,,The Idaho Statesman ,2019,"Number of missing, killed Native women a crisis","Boise, Ada County, ID","Seattle, King County, WA, Albequerque, Bernalillo County, NM, Anchorage, AK, Boise, Ada County, ID, National ",Access World News,"December 15, 2019","1A, 5A",Newspaper-Image Edition,https://drive.google.com/file/d/1jTqmXdk0NMQmHQpgF_5aepS4Q3OECulD/view?usp=share_link,1,1,1,1,1,,,,,,1,1,0,,,,,,
Kole,William J.,,The Idaho Statesman ,2019,No thanks: Native Americans to hold 50th gathering of grief ,"Boise, Ada County, ID","Plymouth, Plymouth County, MA, National ",Access World News,"November 27, 2019",7,Newspaper-Image Edition,https://drive.google.com/file/d/1YfLIp7vlm-J3T0iPUxeRM8cCusG5RFw9/view?usp=share_link,1,1,0,1,0,,,,,,0,0,0,,,,,,
Balsamo ,Michael,Felicia Fonseca ,The Idaho Statesman ,2019,Attorney General Barr unveils plan on missing Native Americans ,"Boise, Ada County, ID",National,Access World News,"November 23, 2019 ","7, 8",Newspaper-Image Edition,https://drive.google.com/file/d/14XvQOAT7NbHjMkPEO4_zX4CELhB5Ux5m/view?usp=share_link,1,1,0,1,1,,,,,,1,0,0,,,,,,
Shaffer,Josh,,The Idaho Statesman ,2019,Native American women can be 'easy prey' for violence - it's a crisis in NC,"Boise, Ada County, ID","Pembroke, Robeson County, NC",Access World News,"September 9, 2019","6, 7",Newspaper-Image Edition,https://drive.google.com/file/d/13NhSEeKkaeXgg9xuU0ZGLGsA8TV51F1F/view?usp=share_link,1,1,1,1,0,,,,,,1,1,1,,,,,,
Editorial Board of the Columbian,,,The Idaho Statesman ,2019,"Native American women deserve action, justice","Boise, Ada County, ID","Washington State, National",Access World News,"June 14, 2019",21,Newspaper-Image Edition,https://drive.google.com/file/d/1DdHvEBOJ7efLqwSZt-kboVYln1hCXtio/view?usp=share_link,1,0,0,1,1,,,,,,1,0,0,,,,,,
Austen,Ian,Dan Bilefsky ,The Idaho Statesman ,2019,"Killings of hundreds of indigenous women, girls labeled genocide in Canadian report ","Boise, Ada County, ID","Gatineau, Quebec, Canada, British Columbia, Cananda",Access World News,"June 4, 2019 ",17,Newspaper-Image Edition,https://drive.google.com/file/d/1okk2RNWR8oDrs_ndUTPp-V_ltctYmG0O/view?usp=share_link,1,1,1,1,1,,,,,,1,1,1,,,,,,
Associated Press,,,The Idaho Statesman ,2019,Missing indigenous women spotlighted as Wash. bill signed ,"Boise, Ada County, ID","Olympia, Thurston County, WA, Washington State",Access World News,"April 25, 2019",8,Newspaper-Image Edition,https://drive.google.com/file/d/11TqnlOhFMYfouGIZLsywDV7uGdc71sWY/view?usp=share_link,0,0,1,0,1,,,,,,1,1,0,,,,,,
Schor,Elana,,The Idaho Statesman ,2019,Warren urges 'action' at meeting with Native American women ,"Boise, Ada County, ID","Washingtin, D.C.",Access World News,"February 13, 2019",9,Newspaper-Image Edition,https://drive.google.com/file/d/17cNg9M53DMfAXJjqqIx4ShgljOBNkLfe/view?usp=share_link,1,1,1,1,1,,,,,,1,1,0,,,,,,
Cohen,Sharon ,,The Idaho Statesman ,2018,Families of missing and murdered women refusing to give up,"Boise, Ada County, ID","Valier, Pondera County, MT",Access World News,"September 5, 2018 ","1, 2",Newspaper-Image Edition,https://drive.google.com/file/d/1kpzdCxfE89CC-0C6KprFi0yyOQIHZcf2/view?usp=share_link,1,1,1,1,1,,,,,,1,1,1,,,,,,
Cohen ,Sharon ,,The Idaho Statesman ,2018,"Damilies of missing, slain women refuse to give up ","Boise, Ada County, ID","Valier, Pondera County, MT",Access World News,"September 5, 2018 ",5A,Newspaper-Image Edition,https://drive.google.com/file/d/1wDdxeAYKF_pDiliUR6QU6D7Smz8ciue9/view?usp=share_link,1,1,1,1,1,,,,,,1,1,0,,,,,,
Davila ,Vianna ,,The Idaho Statesman ,2018,Survey revelas high rates of sexual assault among Native American women ,"Boise, Ada County, ID","Seattle, King County, WA, National",Access World News,"August 25, 2018 ","8, 9",Newspaper-Image Edition,https://drive.google.com/file/d/1VaVAUJNgZfXo0W00tjeWKqhbr75r56OM/view?usp=share_link,1,1,0,1,0,,,,,,1,1,0,,,,,,
Sewell,Cynthia ,,The Idaho Statesman ,2020,"Texting while driving? Hemp? Property tax relief? What the 2020 Legislature did, or didn't do ","Boise, Ada County, ID","Boise, Ada County, ID, Idaho, National",Access World News,"March 21, 2020 ",N/A,Newspaper,https://drive.google.com/file/d/14xwevIgYybti-ZnvEn_M8WLApu9A2nTR/view?usp=share_link,1,0,0,1,0,,,,,,0,0,0,,,,,,
Sewell,Cynthia ,,The Idaho Statesman ,2020,"Tribes, Idaho officials will learn more about 'new era of violence' for Indigenous people ","Boise, Ada County, ID","Idaho, National ",Access World News,"February 19, 2020",N/A,Newspaper,https://drive.google.com/file/d/1I9xYbPXTmyIyuX8rnv-GohEX38sruqQh/view?usp=share_link,1,1,0,1,1,,,,,,0,0,0,,,,,,
Sewell,Cynthia ,,The Idaho Statesman ,2020,"Idaho votes to take first official action on missing, murdered indigenous people crisis ","Boise, Ada County, ID","Idaho, National",Access World News,"February 12, 2020",N/A,Newspaper,https://drive.google.com/file/d/1LeSa48tTKl7Lo8D-o033hV4lC7aJqDz6/view?usp=share_link,1,1,0,1,1,,,,,,0,0,0,,,,,,
Sewell,Cynthia ,,The Idaho Statesman ,2019,How many missing or murdered indigenous women are there in Idaho? No one knows.,"Boise, Ada County, ID","Boise, Ada County, ID, Idaho, National",Access World News,"December 15, 2019 ",N/A,Newspaper,https://drive.google.com/file/d/1Vt8auL_V5hArIqrlQBnibjZf9piwl2wA/view?usp=share_link,1,1,1,1,1,,,,,,1,1,0,,,,,,
Brewster,Kaylee,Paul Rosenberg ,Inland 360,2021,"Top 10 stories the media missed in 2020, according to Project Censored","Lewiston, Nez Perce County, ID",National,Access World News,"January 5, 2021",N/A,Newspaper,https://drive.google.com/file/d/1rWLvlxyJCFL2gKv9Debhvs_BiAdQbJ1E/view?usp=share_link,1,1,0,1,1,,,,,,0,0,0,,,,,,
Schmidt ,Michelle,,Inland 360,2020,Talk address issues surroudning the missing or murdered indigenous women movement ,"Lewiston, Nez Perce County, ID","Boise, Ada County, ID, Idaho, National",Access World News,"Macrh 11, 2020",N/A,Newspaper,https://drive.google.com/file/d/1CufzbWLMadZvmVL5Du9HQvLiT7RAp2uv/view?usp=share_link,1,1,0,1,1,,,,,,1,0,0,,,,,,
Bauer,Jennifer K. ,,Inland 360,2019,Fighting for missing and murdered indigenous people ,"Lewiston, Nez Perce County, ID","Fort Hall, Bingham County, ID, Idaho",Access World News,"March 13, 2019 ",N/A,Newspaper,https://drive.google.com/file/d/1Q1FayKpKCDO84S_Z2YNb7RWlJnYLLPJP/view?usp=share_link,1,1,1,1,0,,,,,,1,1,0,,,,,,
Crapo,Mike ,,The Jefferson Star,2020,"Justice for missing, murdered Native women","Rigby, Jefferson, ID",National,Access World News,"July 29, 2020",4,Newspaper,https://drive.google.com/file/d/1UGfF5LtAVeDK039jVp_NHRxNmZvdov0l/view?usp=share_link,1,1,1,1,1,,,,,,1,1,0,,,,,,
Yakima Herald Republic ,,,Lewiston Tribune ,2025,Washington's task force is producing welcome results,"Lewiston, Nez Perce County, ID",Washington State,Access World News,"July 12, 2025",N/A,Newspaper,https://drive.google.com/file/d/1mD0TvPNxe3BtdADvY9QWQHxeqdAne8_K/view?usp=share_link,1,1,1,1,1,,,,,,1,0,1,,,,,,
Ryder-Marks,Mia,,Lewiston Tribune ,2024,"WA is 2nd in the U.S. for missing, murdered Indigenous women - Although Washington has created task force and alert system, cases continue to go unsolved","Lewiston, Nez Perce County, ID",Washington State,Access World News,"May 28, 2024",N/A,Newspaper,https://drive.google.com/file/d/1LoFo0Z4eRthqwr5X24H8X69HSJmSsBzq/view?usp=share_link,1,1,1,1,1,,,,,,1,1,0,,,,,,
Epperly,Emma,,Lewiston Tribune ,2024,NW to get federal prosecutor dedictaed to missing and slain Indigenous people ,"Lewiston, Nez Perce County, ID","Washington State, Oregon, Montana, California",Access World News,"March 1, 2024",N/A,Newspaper,https://drive.google.com/file/d/15Ca1O0ywLsLfCxt1H0esXoE1pcNEJDsq/view?usp=share_link,1,0,0,1,1,,,,,,1,0,0,,,,,,
Orion The Spokesman Review,,,Lewiston Tribune ,2023,"Justice Dept. taps E. Washington for efforts to solve MMIP cases - Resources are being focused on NW as part of effort to address missing, murdered Indigenous people","Lewiston, Nez Perce County, ID","Washington, D.C., Washington State, National",Access World News,"July 8, 2023",N/A,Newspaper,https://drive.google.com/file/d/1uGwDQnkGhHWOKcB77Z0qJHXchuyr9bCH/view?usp=share_link,1,1,1,1,1,,,,,,1,1,1,,,,,,
Brewster,Kaylee,,Lewiston Tribune ,2023,About 140 people gather for Missing or Murdered Indigenous People Walk in Lapwai ,"Lewiston, Nez Perce County, ID","Lapwai, Nez Perce County, ID",Access World News,"May 4, 2023",N/A,Newspaper,https://drive.google.com/file/d/1KMoaa3Xcry4tzUp0PPqJq8ORvmpV5644/view?usp=share_link,1,1,0,1,1,,,,,,1,0,0,,,,,,
Kuipers,Anthony,,Lewiston Tribune ,2023,Students start database for Indigenous victims - University of Idaho culture department logging names of missing and murdered as a way of defining international problem ,"Lewiston, Nez Perce County, ID","Moscow, Latah County, ID, National, Canada",Access World News,"April 21, 2023",N/A,Newspaper,https://drive.google.com/file/d/1KMoaa3Xcry4tzUp0PPqJq8ORvmpV5644/view?usp=share_link,1,1,0,1,1,,,,,,1,0,0,,,,,,
N/A,N/A,,Lewiston Tribune ,2022,Finding justice for murdered and missing Indigenous people,"Lewiston, Nez Perce County, ID",Washington State,Access World News,"August 14, 2022",N/A,Newspaper,https://drive.google.com/file/d/13AI_3G1XT8w9h3Eh6A6D1IWeVoTGIxAb/view?usp=share_link,1,1,0,1,1,,,,,,1,0,0,,,,,,
Brewster,Kaylee,,Lewiston Tribune ,2022,Speaking out against the silence - Women share their stories to shed light on Missing and Murdered Indigenous Women crisis,"Lewiston, Nez Perce County, ID","Lapwai, Nez Perce County, ID",Access World News,"April 23, 2022",N/A,Newspaper,https://drive.google.com/file/d/1nL_PstwWPANSFtLMx6qFyp88Zd4DZTvG/view?usp=share_link,1,1,1,1,1,,,,,,1,1,1,,,,,,
N/A,N/A,,Lewiston Tribune ,2022,360 Shorts ,"Lewiston, Nez Perce County, ID","Moscow, Latah County, ID",Access World News,"April 7, 2022",N/A,Newspaper,https://drive.google.com/file/d/1neh19da2XTC6bATxoFtIDRyl9x_FADAd/view?usp=share_link,1,1,0,1,0,,,,,,0,0,0,,,,,,
Hedberg,Kathy,,Lewiston Tribune ,2022,Ellenwood receives maximum sentence for Blackeagle murder - Family members of victim give emotional testimony about woman known as a sparkling light to Nez Perce Tribe ,"Lewiston, Nez Perce County, ID","Kamiah, Lewis County, ID",Access World News,"April 5, 2022",N/A,Newspaper,https://drive.google.com/file/d/1G5ktm2xc5c07WCkVNZ0TDFAHkSQyImEO/view?usp=share_link,1,0,1,0,1,,,,,,1,1,1,,,,,,
Kahle,Sarah,,Lewiston Tribune ,2022,Bill target crisis of missing Indigenous people ,"Lewiston, Nez Perce County, ID","Seattle, King County, WA, National, Cananda ",Access World News,"January 18, 2022",N/A,Newspaper,https://drive.google.com/file/d/1G_TFf7HgSbul8qASbIU2jjsaR_or9a0k/view?usp=share_link,1,1,0,1,1,,,,,,1,0,0,,,,,,
N/A,N/A,,Lewiston Tribune ,2021,Lewiston manufacteurer,"Lewiston, Nez Perce County, ID",Idaho,Access World News,"December 12, 2021",N/A,Newspaper,https://drive.google.com/file/d/1gB0uPrQAUMgpybXXkDBHGGM7wVmpwqSU/view?usp=share_link,1,0,0,1,1,,,,,,0,0,0,,,,,,
Agidius ,Cindy,,Lewiston Tribune ,2021,"They could be our daughters, sisters, mothers and wives","Lewiston, Nez Perce County, ID","Moscow, Latah County, ID, Benewah County, ID, National, Canada",Access World News,"October 17, 2021",N/A,Newspaper,https://drive.google.com/file/d/1m8OOvhb4xz-t53B58E1NDEpnSqfWkkuN/view?usp=share_link,1,1,1,1,1,,,,,,0,1,1,,,,,,
Rosenberg,Paul,,Lewiston Tribune ,2021,Project Censored - Top 10 stories the mianstream media missed in 2020,"Lewiston, Nez Perce County, ID","United States, Canada",Access World News,"January 7, 2021",N/A,Newspaper,https://drive.google.com/file/d/1qkaKAJNX7HB9dZxJYt16JfeLpykH3rpE/view?usp=share_link,1,1,0,1,1,,,,,,0,0,0,,,,,,
N/A,N/A,,Lewiston Tribune ,2020,Big Sky producers acknowledhe Native American criticism ,"Lewiston, Nez Perce County, ID","Los Angeles, Los Angeles County, CA",Access World News,"December 3, 2020",N/A,Newspaper,https://drive.google.com/file/d/1O8DZrvcK7IZIkrLKzAOMMpQ3CVFGOtBu/view?usp=share_link,1,1,1,1,0,,,,,,0,0,0,,,,,,
Mabie,Nora,,Lewiston Tribune ,2020,Injustice is not just black and white - Native Americans want be included in race ,"Lewiston, Nez Perce County, ID","Great Falls, Cascade County, MT",Access World News,"June 7, 2020",N/A,Newspaper,https://drive.google.com/file/d/1DEoC-ZMg-pR3WPiGbUCeNUSVJko3hN77/view?usp=share_link,1,1,0,1,0,,,,,,0,0,0,,,,,,
Schmidt ,Michelle ,,Lewiston Tribune ,2020,Missing numbers - Talk address the complex issues surrounding the missing or murdered indigenous women movement ,"Lewiston, Nez Perce County, ID",Idaho,Access World News,"March 12, 2020",N/A,Newspaper,https://drive.google.com/file/d/1dC_EAZjRn-64xbXBCxrC2lD0LiI59zFg/view?usp=share_link,1,1,0,1,1,,,,,,1,1,0,,,,,,
Spence,William L.,,Lewiston Tribune ,2020,"Troy resolution to call attention to missing, murdered indigenous people - Genesee representative introduces bill; other north central Idaho lawmakers also push their legislation ","Lewiston, Nez Perce County, ID","Boise, Ada County, ID, Idaho, National",Access World News,"February 13, 2020",N/A,Newspaper,https://drive.google.com/file/d/1KNRes0s4QQKBse80SYj1doVbNIJsLsPe/view?usp=share_link,1,1,0,1,1,,,,,,0,0,0,,,,,,
Sewell,Cynthia,,Lewiston Tribune ,2019,"Scope of missing, murdered indigenous women a mystery ","Lewiston, Nez Perce County, ID","Boise, Ada County, ID, National",Access World News,"December 27, 2019",N/A,Newspaper,https://drive.google.com/file/d/1RoIlVpYRd52l1n2aDNpfhjHrPxvc-gYz/view?usp=share_link,1,1,1,1,1,,,,,,1,1,0,,,,,,
Ayer,Tammy,,Lewiston Tribune ,2019,"Tribal leaders gather for summit on missing, murdered women - Epidemic of violence against American Indian women drawing more attention across region ","Lewiston, Nez Perce County, ID","Toppenish, Yakima County, WA, Yakama Reservatiom, Yakima County, WA, National",Access World News,"December 21, 2019 ",N/A,Newspaper,https://drive.google.com/file/d/1RoIlVpYRd52l1n2aDNpfhjHrPxvc-gYz/view?usp=share_link,1,1,1,1,1,,,,,,1,1,0,,,,,,
