Author Last Name,Author First Name,Other Authors,Newspaper/Publisher,Publication Year,Article Title,"Publication Location (City, County, State) Where was the article published? ","Contextual Location (City, County, State) Where is the article talking about? If mutliple locations are referenced, list them all. If national, write national","News Source (e.g. Google, Ethnic News Watch, etc)",Date of Publication,"Page # (if applicable, if not, write N/A)",Type,Link (paste to Google drive upload),MMIWG mentioned (1=y 0=n),"MMIWG defined (1,0)","specific case (1,0)","MMIWG mvmnt (1,0)","coverage of legal protection (1,0)","News article (1,0)","video/audio (1,0)","material culture (1,0)","international (1,0)","national (1,0)","regional (1,0)","local (1,0)","Native (1,0)",# of sources,# of govt officials,# of ordinary people,# of experts,# of id male,# of id female,# of gender unID,"(Native voice) token/soundbite (1,0)","centers importance of MMIWG (1,0)","discussion of law impact (1,0)",word count,"article series (1,0)"
Beekman,Daniel ,Bettina Hansen,The Seattle Times,2019,"Local- Native women celebrate Monday as the Seattle City Council votes to adopt a resolution to tackle the crisis of missing and murdered indigenous women and girls by creating a police liaison and improving data collection, among other practices. ","Seattle, King County, WA","Seattle, King County, WA",Access World News ,10-Sep,N/A,Newspaper,https://drive.google.com/file/d/1SSdvu6hxzy-lVaQUsgpAkO9OBqREhCOA/view?usp=drive_link,1,1,0,1,1,,,,,,1,0,0,,,,,,,,,,,,
 V. Mapes,Linda,,The Seattle Times,2020,"A brother’s grief, a city’s distress","Seattle, King County, WA","Seattle, King County, WA",Access World News ,30-Aug,N/A,Newspaper,https://drive.google.com/file/d/1SSdvu6hxzy-lVaQUsgpAkO9OBqREhCOA/view?usp=drive_link,1,1,0,1,1,,,,,,1,0,0,,,,,,,,,,,,
Trimmer,Dave,,The Seattle Times,2019,"A champion in track — and for missing, murdered indigenous womenshorter: A champion in track — and for indigenous women","Seattle, King County, WA","Cheney, Spokane County, WA",Access World News ,2-Jun,N/A,Newspaper,https://drive.google.com/file/d/1SSdvu6hxzy-lVaQUsgpAkO9OBqREhCOA/view?usp=drive_link,1,1,0,1,1,,,,,,1,0,0,,,,,,,,,,,,
 Mapes, Lynda,,The Seattle Times,2018,Police arrest pipeline protesters downtown,"Seattle, King County, WA","Seattle, King County, WA",Access World News ,2-May,N/A,Newspaper,https://drive.google.com/file/d/1UKHND3fOGfqurxBMLRSY6Eg9ll5Z2d9a/view?usp=drive_link,1,1,0,1,0,,,,,,0,0,0,,,,,,,,,,,,
Capitol Hill Times,Capitol Hill Times,,The Capitol Hill Times,2019,Interior Applauds Trump Administration's Establishment of Missing and Murdered American Indians and Alaska Native Task Force,"Capitol Hill, Seattle, King County, WA",National ,Access World News ,2-Dec,N/A,Newspaper,https://drive.google.com/file/d/1C3PNNhYaEWegCtBdTyCV0ssxZ9fzjbgX/view?usp=drive_link,1,1,0,1,1,,,,,,1,0,0,,,,,,,,,,,,
Tollestrup-Wimbish,Bella,,"Falcon, The: Seattle Pacific University (WA)",2019,Indigenous women endure atrocities,"Seattle, King County, WA","Winnipeg, Manitoba, Canada)- Canada (national)",Access World News (NewsBank),6-Feb-,N/A,Newspaper,https://drive.google.com/file/d/1ah9QRH3GcFto_tojuy2MRfXvDgfRG74-/view?usp=drive_link,1,1,1,1,1,,,,,,1,1,1,,,,,,,,,,,,
Guillot,Chloe,,"Falcon, The: Seattle Pacific University (WA)",2019,Connecting through stories,"Seattle, King County, WA","Seattle, King County, WA- Washington State (tribal nations)",Access World News (NewsBank),3-Apr,N/A,Newspaper,https://drive.google.com/file/d/1583_ZFkKA22euQZNoZQid34cfaR3SKHl/view?usp=drive_link,1,1,0,1,0,,,,,,0,0,0,,,,,,,,,,,,
Martin,Genna,"Halverson, Alex",Seattle Post-Intelligencer,2019,"Photos: First Nations hosts 3rd annual vigil for missing, murdered indigenous women","Seattle, King County, WA","Seattle, King County, WA; Washington State; University of Washington (Seattle, WA)",Access World News (NewsBank),February 15 2019,d,News Article,https://drive.google.com/file/d/1yfvjqQ5LmaLfwPBmVX7T78V-aLtel4Zw/view?usp=drive_link,1,1,1,1,1,,,,,,1,1,0,,,,,,,,,,,,
Connelly, Joel ,,Seattle Post-Intelligencer,2018,"Report ID's 506 cases of murdered, missing Indigenous women","Seattle, King County, WA",Canada and The United States (National),Access World News (NewsBank),15-Nov,N/A,Newspaper,https://drive.google.com/file/d/1dFIzqkkbQjVMPQipz14SSzc-ARrFPo1x/view?usp=drive_link,1,1,1,1,1,,,,,,0,1,1,,,,,,,,,,,,
 Bailey ,Josie,,Seattle Weekly (WA),2025,"Muckleshoot Tribe hosts national MMIP coordinator gathering - MMIP refers to ""Missing and Murdered Indigenous People,"" an ongoing international crisis that has inspired tribal leaders from 13 states to come together on the Muckleshoot reservation.","Seattle, King County, WA","King County, WA- Minnesota State - Arizona State - National ",Access World News (NewsBank),25-Nov,N/A,Newspaper,https://drive.google.com/file/d/1LjaYBzFm7V78dvCzRVRfsnRjqckWaGSo/view?usp=drive_link,1,1,1,1,1,,,,,,1,1,0,,,,,,,,,,,,
Bailey ,Josie,,Seattle Weekly (WA),2024,Working toward justice for the missing and murdered in Washington - Missing and Murdered Indigenous Women and People (MMIWP) Task Force Summit highlights progress as well as shortcomings.,"Seattle, King County, WA",Washington State,Access World News (NewsBank),28-Nov,N/A,Newspaper,https://drive.google.com/file/d/1Lvc_RD3pDkG5nTU2PekSLcJ6TXR9Mve6/view?usp=drive_link,1,1,1,1,1,,,,,,1,1,1,,,,,,,,,,,,
Seattle Weekly ,Seattle Weekly ,,Seattle Weekly (WA),2022,Forum spotlights Washington's missing and murdered Indigenous people - Carolyn DeFord of the Puyallup Tribe spoke about her mother's 1999 disappearance and what has led to this crisis.,"Seattle, King County, WA",Washington and Oregon States,Access World News (NewsBank),16-Nov,N/A,Newspaper,https://drive.google.com/file/d/1cb1_Un-n7vXn74od1sDpD5lfsxfmNd3V/view?usp=drive_link,1,1,1,1,1,,,,,,1,1,1,,,,,,,,,,,,
Saunders,Hannah ,,Seattle Weekly (WA),2022,"No more stolen sisters: How WA is responding to missing and murdered Indigenous people - Across the state, 126 Indigenous people remain missing, with 31 having gone missing in King County.","Seattle, King County, WA",King County - Washington State,Access World News (NewsBank),7-May,N/A,Newspaper,https://drive.google.com/file/d/1czIUlJVU2taljsIy53wBoiLuKM8DZGuB/view?usp=drive_link,1,1,1,1,1,,,,,,1,1,0,,,,,,,,,,,,
Breda,Isabella ,,Seattle Weekly (WA),2022,New alert system aims to bring home missing Indigenous people - Gov. Jay Inslee signed a law creating the new system. Families of the missing and murdered say it's a start.,"Seattle, King County, WA",Washington State,Access World News (NewsBank),12-Apr,N/A,Newspaper,https://drive.google.com/file/d/1pHHlgD_JxdoVARgaxj7wDFd8oFuaRdv3/view?usp=drive_link,1,1,1,1,1,,,,,,1,1,1,,,,,,,,,,,,
 Hellmann,Melissa,,Seattle Weekly (WA),2019,Legislation Targets Missing And Murdered Indigenous Women Epidemic - Savanna's Act co-sponsored by U.S. Sen. Maria Cantwell (D-WA); Seattle and Washington rank among highest in nation,"Seattle, King County, WA","Seattle, King County, Washington State",Access World News (NewsBank),7-Feb,N/A,Newspaper,https://drive.google.com/file/d/1NCzcr3r0xrp1PNLQF0Dz6bMY14za7Z0s/view?usp=drive_link,1,1,1,1,1,,,,,,1,0,0,,,,,,,,,,,,
Hellmann,Melissa ,,Seattle Weekly (WA),2019,Urban Indigenous Communities Push for Action to Address Violence Against Women - A new law seeks to strength data collection on missing and murdered indigenous women.,"Seattle, King County, WA","Washington State, National ",Access World News (NewsBank),19-Jan,N/A,Newspaper,https://drive.google.com/file/d/1Lvc_RD3pDkG5nTU2PekSLcJ6TXR9Mve6/view?usp=drive_link,1,1,1,1,1,,,,,,1,1,1,,,,,,,,,,,,
 Sinha,Ranji,, CBS - 7 KIRO: Web Edition Articles ,2023,"Cantwell grills Interior Secretary about missing, murdered Indigenous women","Seattle, King County, WA- Tacoma, Pierce County, WA","Yakima, Yakima County, WA- Washington State- National",Access World News (NewsBank),2-May,N/A,Web-Only Source,https://drive.google.com/file/d/1XZoNgbrw25W9ErW8OQikI1sc7K9vcb7s/view?usp=drive_link,1,0,0,1,1,,,,,,0,0,0,,,,,,,,,,,,
Dallas,Julia,, CBS - 7 KIRO: Web Edition Articles ,2023,"Bill passed WA Senate that would improve police communication on missing, murdered Inigenous women","Seattle, King County, WA- Tacoma, Pierce County, WA",Washington State,Access World News (NewsBank),6-Mar,N/A,Web-Only Source,https://drive.google.com/file/d/1ZNX3f9Q_stxuC69NNiZVMJk2fDSHsnaH/view?usp=drive_link,1,1,0,1,1,,,,,,1,0,0,,,,,,,,,,,,
Sun , Deedee ,, CBS - 7 KIRO: Web Edition Articles ,2022,Cold case unit proposed in AG's office to investigate missing and murdered indigenous people,"Seattle, King County, WA- Tacoma, Pierce County, WA",Washington State,Access World News (NewsBank),2-Aug,N/A,Web-Only Source,https://drive.google.com/file/d/1OtO64_71v7okTFG_9S2KWuJgFu5cj5Um/view?usp=drive_link,1,1,1,1,1,,,,,,1,1,0,,,,,,,,,,,,
Grande,Alison ,, CBS - 7 KIRO: Web Edition Articles ,2018,"New report sheds light on missing, murdered indigenous women","Seattle, King County, WA- Tacoma, Pierce County, WA","Washington State, National ",Access World News (NewsBank),20-Nov,N/A,Web-Only Source,https://drive.google.com/file/d/18NdSNdJeqli-oJ2JxASjmJ_O7FwowbOi/view?usp=drive_link,1,1,1,1,1,,,,,,1,1,1,,,,,,,,,,,,
Mariella Désir, Alison ,,Crosscut.com,2025,Out & Back: Competitive athlete Rosalie Fish -,"Seattle, King County, WA","Seattle, King County, WA",Access World News (NewsBank),6-Jan,N/A,Web-Only Source,https://drive.google.com/file/d/1wCqHAxrc6xFhpy1WIa_PlmBSojzv5Vep/view?usp=drive_link,1,1,1,1,1,,,,,,1,1,0,,,,,,,,,,,,
Reyna,Luna ,,Crosscut.com,2022,WA's missing Indigenous persons alert system saw a strong start,"Seattle, King County, WA","Puyallup, Pierce County, Washington State",Access World News (NewsBank),28-Dec,N/A,Web-Only Source,https://drive.google.com/file/d/1jcYyfEAQIDzeuRwu0gOvOh9IAm_Ra7E-/view?usp=drive_link,1,1,1,1,1,,,,,,1,1,0,,,,,,,,,,,,
Cohen, Josh ,,Crosscut.com,2022,Seattle community leaders have a lot to say about public safety,"Seattle, King County, WA","Seattle, King County, WA",Access World News (NewsBank),22-May,N/A,Web-Only Source,https://drive.google.com/file/d/17nyVV0rar0kPRfGts7xDAU0DKrnT1JpN/view?usp=drive_link,1,0,0,1,0,,,,,,1,0,0,,,,,,,,,,,,
Reyna ,Luna ,,Crosscut.com,2022,I'm not a token': Seattle council president Debora Juarez opens up,"Seattle, King County, WA","Puyallup, Pierce County, WA- Seattle, King County, WA",Access World News (NewsBank),17-Mar,N/A,Web-Only Source,https://drive.google.com/file/d/1LpEA_VAs2ZmOGdy6h7mp9OYjR9RDqJwn/view?usp=drive_link,1,1,0,1,1,,,,,,1,1,0,,,,,,,,,,,,
Reyna ,Luna ,,Crosscut.com,2022,WA is working on an Amber Alert for missing Indigenous people,"Seattle, King County, WA",Washington State- National ,Access World News (NewsBank),3-Feb,N/A,Web-Only Source,https://drive.google.com/file/d/1jcYyfEAQIDzeuRwu0gOvOh9IAm_Ra7E-/view?usp=drive_link,1,1,1,1,1,,,,,,1,1,0,,,,,,,,,,,,
Reyna,Luna ,,Crosscut.com,2021,Colville mother's conviction raises justice issues facing Native women,"Seattle, King County, WA","Colville Reservation,Okanogan County, WA ",Access World News (NewsBank),7-Dec,N/A,Web-Only Source,https://drive.google.com/file/d/1phdFz3Bh0qYTDOvkd3-5npJSLFVZsppg/view?usp=drive_link,1,1,1,1,1,,,,,,1,1,1,,,,,,,,,,,,
Syed , Maleeha,,Crosscut.com,2021,Indigenous families on the epidemic of missing and murdered women,"Seattle, King County, WA",Wyoming State- National ,Access World News (NewsBank),11-Oct,N/A,Web-Only Source,https://drive.google.com/file/d/1K-S6RRrUITza2eyWmq8botmYMdH6unAU/view?usp=drive_link,1,1,1,1,1,,,,,,1,1,0,,,,,,,,,,,,
Secaira, Manola ,,Crosscut.com,2019,We're literally invisible': How better data could help advocates for missing or murdered Native women,"Seattle, King County, WA","Washington State- Seattle, King County, WA- National- Arizona - Montana",Access World News (NewsBank),23-Jul,N/A,Web-Only Source,https://drive.google.com/file/d/1zUdxm5VvZyyHeaefmFHsCLqe6UKuTO4n/view?usp=drive_link,1,1,1,1,1,,,,,,1,1,1,,,,,,,,,,,,
Washines ,Emily,,Crosscut.com,2019,Who are the missing Native women and how do we find them?,"Seattle, King County, WA","Toppenish, Yakima County, WA- Yakama Reservation, Yakima County, WA - Washington State - National",Access World News (NewsBank),20-Jun,N/A,Web-Only Source,https://drive.google.com/file/d/1mLYQow2YlvUuXn3nChDVlN2fkeRj6LCX/view?usp=drive_link,1,0,0,1,1,,,,,,0,0,0,,,,,"																																					
																																					",,"                                                                                                                                                                                                                                                                                                        
                                                                                                                                                                                                                                                                                                        ",,,,,
Anderson ,Rick ,,Crosscut.com,2018,A new law addresses epidemic of missing and murdered Indigenous women,"Seattle, King County, WA","LeGrande, Union County, OR- Washington State - Yakama Revervation, Yakima County, WA - National. ",Access World News (NewsBank),16-Apr,N/A,Web-Only Source,https://drive.google.com/file/d/1lz51Q_CRUDWqBEp8WVhl9OMdUzT87Ddz/view?usp=drive_link,1,1,1,1,1,,,,,,1,1,1,,,,,,,,,,,,
Associated Press State Wire: Washington (WA),Associated Press State Wire: Washington (WA),,Associated Press State Wire (WA) ,2023,Washington creates missing Indigenous people cold case unit,Washington State. ,"Yakima County, WA-  Washington State- National. ",Access World News (NewsBank),28-Apr,N/A,Newswire,https://drive.google.com/file/d/15aumz_WAE9P689VUxPQ4gHUyKpp3SxE2/view?usp=drive_link,1,1,0,1,1,,,,,,1,0,0,,,,,,,,,,,,
AYER ,TAMMY ,Yakima Herald-Republic,Associated Press State Wire (WA) ,2020,Strong's family brings awareness to murdered Native people,Washington State. ,"Toppenish, Yakima County, WA- Yakama Reservation, Yakima County, WA- Seattle, King County, WA- Nisqually Reservation, Thurston County, WA. ",Access World News (NewsBank),3-Oct,N/A,Newswire,https://drive.google.com/file/d/1qxRR1ClLxdeIU_6xkm3G3X8X5VKIOjs4/view?usp=drive_link,1,1,1,1,0,,,,,,1,1,0,,,,,,,,,,,,
 Associated Press State Wire, Associated Press State Wire,,Associated Press State Wire (WA),2020,Task force on missing Native Americans resumes sessions,Washington State. ,"Flagstaff, Coconino County, AZ- Washington State-  National. ",Access World News (NewsBank),28-May,N/A,Newswire,https://drive.google.com/file/d/1O3PDwadEcUHoXrR4ZTDieGYwzp6Imo02/view?usp=drive_link,1,0,0,1,1,,,,,,0,0,0,,,,,,,,,,,,
SEWELL ,CYNTHIA,Idaho Statesman,Associated Press State Wire (WA) ,2019,"Scope of missing, murdered indigenous women in Idaho unknown",Washington State. ,"Boise, Ada County, Idaho- Idaho State- National- New Mexico. ",Access World News (NewsBank),21-Dec,N/A,Newswire,https://drive.google.com/file/d/1VZfhg0EV7OFNkaB1m9YBvTrbCLuJaFgh/view?usp=drive_link,1,1,1,1,1,,,,,,1,1,0,,,,,,,,,,,,
Associated Press State Wire,Associated Press State Wire,,Associated Press State Wire (WA),2019,"Seattle to address missing, murdered indigenous women crisis",Washington State. ,"Seattle, King County, WA",Access World News (NewsBank),10-Sep,N/A,Newswire,https://drive.google.com/file/d/1ALq-W9-31GR3PQKblin5-_wo2SVabdWF/view?usp=drive_link,1,1,0,1,1,,,,,,0,0,0,,,,,,,,,,,,
Associated Press State Wire,Associated Press State Wire,,Associated Press State Wire (WA) ,2019,Missing indigenous women spotlighted as bill signed,Washington State. ,"Olympia, Thurston County, WA - Washington State- National",Access World News (NewsBank),24-Apr,N/A,Newswire,https://drive.google.com/file/d/1MexdNu-DbDoZM_rVfXtptB8rgo72GHk7/view?usp=drive_link,1,1,0,1,1,,,,,,1,0,0,,,,,,,,,,,,
HUDETZ,MARY ,,Associated Press State Wire (WA) ,2018,"Study: Weak reporting on missing, murdered Native women",Washington State. ,"Albuquerque, Bernalillo County, New Mexico - Seattle, King County, WA. -North Dakota- National. ",Access World News (NewsBank),15-Nov,N/A,Newswire,https://drive.google.com/file/d/1wz8t06lCollrVKNQyrxiIHyZriaNPXHy/view?usp=drive_link,1,1,1,1,1,,,,,,1,1,1,,,,,,,,,,,,
COHEN ,SHARON ,AP National Writer,Associated Press State Wire (WA) ,2018,#NotInvisible: Why are Native American women vanishing?,Washington State. ,"Valier, Pondera County, Montana-  LaGrande, Union County, Oregon- Tacoma, Pierce, Washington- North Dakota- Cananda.",Access World News (NewsBank),6-Sep,N/A,Newswire,https://drive.google.com/file/d/1oqK5Hf0eCJqS1xrGoHYm_jT8KRKH-vUA/view?usp=drive_link,1,1,1,1,1,,,,,,1,1,1,,,,,,,,,,,,
COHEN ,SHARON ,AP National Writer (Duplicate but different title) ,Associated Press State Wire (WA) ,2018,Lawmakers seek answers for why Native American women vanish,Washington State. ,"Valier, Pondera County, Montana-  LaGrande, Union County, Oregon- Tacoma, Pierce, Washington- North Dakota- Cananda.",Access World News (NewsBank),5-Sep,N/A,Newswire,https://drive.google.com/file/d/1ZEEAAjQUxU6tTgtuaCeFN5Dbh6w7Lwuc/view?usp=drive_link,1,1,1,1,1,,,,,,1,1,1,,,,,,,,,,,,
HUDETZ,MARY ,Associated Press,Associated Press State Wire (WA) ,2018,"Despite past reforms, Native women face high rates of crime",Washington State. ,"Albuquerque, Bernalillo County, New Mexico - National - Alaska State. ",Access World News (NewsBank),5-Sep,N/A,Newswire,https://drive.google.com/file/d/1TcmMkhErmsAyDDU2XLp_0xu9Cpx_oVbR/view?usp=drive_link,1,1,0,1,1,,,,,,1,0,1,,,,,,,,,,,,
Yakima Herald- Republic Editorial Board,Yakima Herald- Republic Editorial Board,,"The Seattle Times (Seattle, WA) (2019-) *Newspaper: image edition*
",2025,Steps Toward Justice for Missing and Murdered Indigenous People,"Seattle, King County, Washington State. ","Washington State.-  Yakima, Yakima County, WA. ",Access World News (NewsBank),11-Jul,14,Newspaper-Image Edition,https://drive.google.com/file/d/1fCQOatYI7ib5WtPApbDF6xsu-mlOW2ra/view?usp=drive_link,1,1,1,1,1,,,,,,1,0,0,,,,,,,,,,,,
Girgis ,Lauren,,"The Seattle Times (Seattle, WA) (2019-) *Newspaper: image edition*",2025,New Cold Case Unit helps bring murder charges for first time,"Seattle, King County, Washington State. ","Washington State- Port Angeles, Clallam County, WA",Access World News (NewsBank),12-Jun,10,Newspaper-Image Edition,https://drive.google.com/file/d/1EQGYuIlm4kPHpDAUElHeIrzk4CYg0cjD/view?usp=sharing,1,1,1,1,1,,,,,,1,1,1,,,,,,,,,,,,
Ishisaka,Naomi ,,"The Seattle Times (Seattle, WA) (2019-) *Newspaper: image edition*",2025,Ishisaka from A8 ,"Seattle, King County, Washington State. ","National- Seattle, King County, WA. ",Access World News (NewsBank),12-May,9,Newspaper-Image Edition,https://drive.google.com/file/d/1W5_1U0QoPCP8axlC9UMcX6iF9cQUpv6c/view?usp=drive_link,1,1,1,1,1,,,,,,1,0,0,,,,,,,,,,,,
Macdonald,Moira ,,"The Seattle Times (Seattle, WA) (2019-) *Newspaper: image edition*",2024,Film focuses on missing Indigenous women (Listed above in the Seattle Times Text Version as well),"Seattle, King County, Washington State. ","National- Seattle, King County, WA. - Texas State- Tulalip Reservation, Snohomish County, WA- ",Access World News (NewsBank),24-Nov-24,55,Newspaper-Image Edition,https://drive.google.com/file/d/1bq1hmf_L0SGbjIs9uyo9iSQaXmUZ8Sp0/view?usp=drive_link,1,1,1,1,1,,,,,,1,1,1,,,,,,,,,,,,
Yoon-Hendricks,Alexandra ,,"The Seattle Times (Seattle, WA) (2019-) *Newspaper: image edition*",2024,"Native Group Ends Contract with Seattle Police, Says Ideas Rejected","Seattle, King County, Washington State. ","Seattle, King County, WA- Washington State- National",Access World News (NewsBank),11-Sep,6,Newspaper-Image Edition,https://drive.google.com/file/d/1T7YbQ7OBpqivKDDcmoVjfKca9BUTEbL5/view?usp=drive_link,1,1,0,1,1,,,,,,1,0,0,,,,,,,,,,,,
Ayer ,Tammy,,"The Seattle Times (Seattle, WA) (2019-) *Newspaper: image edition*",2023,FBI Investigates 1979 Quinalt Reservation Disappearances,"Seattle, King County, Washington State. ","Seattle, King County, WA- Yakama Reservation, Yakima County, WA- National",Access World News (NewsBank),9-Oct,9,Newspaper-Image Edition,https://drive.google.com/file/d/1SZ-3sj0WsAlu9ItJNxp4NkvEKI4Ha0_D/view?usp=drive_link,1,1,1,1,0,,,,,,1,1,1,,,,,,,,,,,,
Rowe,Claudia ,,"The Seattle Times (Seattle, WA) (2019-) *Newspaper: image edition*
",2023,"Daughters, mothers, friends: Serial Murder is still with us, but our focus has changed","Seattle, King County, Washington State. ","Oregon State- Massapequa Park, Nassau County, Long Island, New York State- Burien, King County, WA- New York City, NY- Portland, Multnomah County, Oregon ",Access World News (NewsBank),23-Jul,46,Newspaper-Image Edition,https://drive.google.com/file/d/14m9bymzgyNIjBW3Is0NjdFvlD693nP0_/view?usp=drive_link,0,0,1,1,0,,,,,,1,1,1,,,,,,,,,,,,
Ayer ,Tammy ,,"The Seattle Times (Seattle, WA) (2019-) *Newspaper: image edition*",2023,FBI Doubles Reward in Killing of Yakama Woman in New Mexico,"Seattle, King County, Washington State. ","New Mexico State- Laguna Pueblo, Cibola County, New Mexico
- Acoma Pueblo, Cibola County, New Mexico- 
Albuquerque, Bernalillo County, New Mexico- 
Toppenish, Yakima County, Washington",Access World News (NewsBank),11-Jul,Aug-32,Newspaper-Image Edition,https://drive.google.com/file/d/15auCxrQVYKtetpFTOCJ3NE131rgaPkkA/view?usp=drive_link,1,1,1,1,1,,,,,,1,1,1,,,,,,,,,,,,
Yoon-Hendricks,Alexandra ,,"The Seattle Times (Seattle, WA) (2019-) *Newspaper: image edition*",2023,Cold case unit launched for missing and murdered Indigenous people (Also listed above in text newspaper section) ,"Seattle, King County, Washington State. ","Washington State- Yakima, Yakima County, WA",Access World News (NewsBank),24-Apr,8+9,Newspaper-Image Edition,https://drive.google.com/file/d/1ie4dIXHwxG8DFrGhultAA0XfmUVxxl8J/view?usp=drive_link,1,1,1,1,1,,,,,,1,1,1,,,,,,,,,,,,
Radoc Cabahug,Jadenne,,"The Seattle Times (Seattle, WA) (2019-) *Newspaper: image edition*",2023, Bills would further address MMIW crisis (Also listed above in text newspaper section) ,"Seattle, King County, Washington State. ","Yakima, Yakima County, WA - Washington State ",Access World News (NewsBank),24-Jan,7+ 10,Newspaper-Image Edition,https://drive.google.com/file/d/1kblrX3xwFpQulYglnriCYA8mIXJYiyj2/view?usp=drive_link,1,1,1,1,1,,,,,,1,1,1,,,,,,,,,,,,
Ayer ,Tammy ,Yakima Herald-Republic ,"The Seattle Times (Seattle, WA) (2019-) *Newspaper: image edition*",2023,Cold Case Unit Sought for Indigenous People,"Seattle, King County, Washington State. ",Washington State- National,Access World News (NewsBank),10-Jan,26-Aug,Newspaper-Image Edition,https://drive.google.com/file/d/1Atjxirqv2fUjO8isBYm9F5_eOmNdfSsC/view?usp=drive_link,1,1,0,1,1,,,,,,1,0,0,,,,,,,,,,,,
