Author Last Name,Author First Name,Other Authors,Newspaper/Publisher,Publication Year,Article Title,"Publication Location (City, County, State) Where was the article published? ","Contextual Location (City, County, State) Where is the article talking about? If mutliple locations are referenced, list them all. If national, write national",Date of Publication,Volume,Issue No.,"Page # (if applicable, if not, write N/A)",Type,Link (paste to Google drive upload),Word Count,Presence of a Photo (1=y 0=n),MMIWG mentioned (1=y 0=n),evidence,"discussion of MMIWG movement (1,0)",evidence,"specifc case (1, 0)",evidence,"multiple cases (1, 0)",evidence,"coverage of legal protection or policy (1,0)",evidence,"News article (1,0)","video/audio (1,0)","national (1,0)","regional (1,0)","local (1,0)","family or friends of victim referenced (1, 0)",evidence,"details on victim life (1, 0)",evidence,"details on perpetrator (1, 0)",evidence,# of govt officials referenced,# of ordinary people referenced,# of experts referenced ,# of id male,# of id female,# of gender unID
Werk,Jarrette,,Underscore Native News,2024,"I Understand How Families Are Feeling' - Dawn Pullin, Spokane Tribe of Indians citizen, talks about her work since becoming the tribal liaison for Washington State Patrol in 2020","Portland, Multnomah, OR",WA; Spokane Indian Reservation,8-May,,,N/A,Web-Only Source,https://drive.google.com/file/d/1-bQctXRCAd0MhZ8iAzbzaf7Vl5deaNtq/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bartoo-Smith,Nika,,Underscore Native News,2024,"A Powwow for Palestine - When the annual powwow at Portland State University was pressured to have a police presence due to an encampment in support of Palestine, Native students and community members organized a powwow for Palestine and MMIR","Portland, Multnomah, OR","Portland, Multnomah, OR; Confederated Tribes of Warm Springs Reservation",7-May,,,N/A,Web-Only Source,https://drive.google.com/file/d/1vVa8T2zsPNWJVd136y5xGyhghWMEWu1d/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bartoo-Smith,Nika,,Underscore Native News,2024,"Oregon Ravens Honor Missing and Murdered Relatives - Ravens player Kola Shippentower, Umatilla, and youth from her nation shared song and dance to honor Missing and Murdered Indigenous Relatives during a May 4 football game against the Seattle Majestics","Portland, Multnomah, OR","Confederated Tribes of the Umatilla Indian Reservation; Milwaukie, Clackamas, OR",6-May,,,N/A,Web-Only Source,https://drive.google.com/file/d/1PCesz_7_AxydcO7FqSn-cfmOFxThrEOh/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bartoo-Smith,Nika,,Underscore Native News,2024,"MMIP Advocate Becomes First Native Member of Oregon Women's Football Team - Kola Shippentower, Umatilla, is the first Native American player for the Oregon Ravens, the state's tackle football team for women and nonbinary players","Portland, Multnomah, OR","OR; Confederated Tribes of the Umatilla Indian Reservation; Portland, Multnomah, OR",19-Jan,,,N/A,Web-Only Source,https://drive.google.com/file/d/1r7N44A7tMjghBWvHeu6xRqyHUPs1ZDnm/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altman,Leah,,Underscore Native News,2024,"Elder Profile: Patsy Whitefoot - Elder, educator and activist Patsy Whitefoot has a passion for arming the next generation with tools for change","Portland, Multnomah, OR","White Swan, Yakima, WA; Yakama Reservation; Yakima County; WA; Canada; CA",11-Jan,,,N/A,Web-Only Source,https://drive.google.com/file/d/1Aooe2CLri_IUwS-w3WGaTO7CSJV-ntwC/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Werk,Jarrette,,Underscore Native News,2023,"Art Show Helped Bring Indigenous Woman Home - With 'Portraits in Red,' artist Nayana LaFond aims to raise awareness of Missing and Murdered Indigenous People. Currently on display at Yakima Valley Museum, the traveling art show will continue its Pacific Northwest tour in January","Portland, Multnomah, OR","Canada; Yakima, Yakima, WA; WA; National; Omak, Okanogan, WA; Umatilla Indian Reservation",20-Dec,,,N/A,Web-Only Source,https://drive.google.com/file/d/1ykzIdGd2D1WsnPOGhi5lf1xUY3_hNwyc/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reyna,Luna,,Underscore Native News,2023,"Indigenous Water Warriors Call for Global Solidarity Against Genocide - Water Warriors made national news last month when they took to Puyallup tribal waters in a traditional Nisqually canoe calling for a permanent ceasefire in Gaza, temporarily blocking a military ship. Their fight against oppression didn't start or end there","Portland, Multnomah, OR","Tacoma, Pierce, WA; Seattle, King, WA; WA",6-Dec,,,N/A,Web-Only Source,https://drive.google.com/file/d/1V169aJNJ7dv0Poe0-O-xfJNUWhANwG75/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnson,Carrie,,Underscore Native News,2023,"How the Fire of Recovery Led to the Pacific Northwest Canoe Journey - The North Tide Yaakw Ḵwáan canoe family arrived at Alki Beach after a 1,500-mile journey from Haines, Alaska with a flag flying from the mast, a skipper who waited 20 years for the journey, and women with red handprints across their faces","Portland, Multnomah, OR","Haines, AK; BC, Canada; Seattle, King, WA; Muckleshoot Indian Reservation; Angoon, AK ",4-Aug,,,N/A,Web-Only Source,https://drive.google.com/file/d/1CRWcQE7fctbI07lsfKuyf0VusdAY7lAf/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KickingWoman,Kolby,,Underscore Native News,2023,"Nothing Can Stop Us' - At the 2023 State of Indian Nations, President Fawn Sharp's address calls on tribes, tribal leaders to seize momentum and keep pushing forward on issues facing Indian Country","Portland, Multnomah, OR",Washington D.C.,24-Feb,,,N/A,Web-Only Source,https://drive.google.com/file/d/1tpMYYpXyAtA0F0auLSeeUVj1qp_wcUi5/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reyna,Luna,,Underscore Native News,2023,"Washington State May Launch a Cold-Case Unit for Missing, Murdered Indigenous People - Unanimously approved by the MMIWP Task Force, HB 1177 would launch a permanent and fully funded statewide unit","Portland, Multnomah, OR",WA,16-Feb,,,N/A,Web-Only Source,https://drive.google.com/file/d/12aAWiqc5BfMx0Wayak_5c3yzRNvfcmmy/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morrisseau,Miles,,Underscore Native News,2023,Waiting for answers: Are serial killer's victims in a Winnipeg landfill? - Indigenous community in Manitoba continues protests over police refusal to search for remains,"Portland, Multnomah, OR","Winnipeg, Manitoba, Canada; Canada",15-Feb,,,N/A,Web-Only Source,https://drive.google.com/file/d/1Iy2Ojh8KYce7Vv_cSWLjKORH0H6jM6L-/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown,Karina,,Underscore Native News,2022,Sovereign Justice - The growing power of tribal courts is on full display at the Umatilla Indian Reservation,"Portland, Multnomah, OR","Confederated Tribes of the Umatilla Indian Reservation; Warm Springs Indian Reservation; Pendleton, Umatilla, OR",18-Oct,,,N/A,Web-Only Source,https://drive.google.com/file/d/1CYQ7f_dhF1v7lFBD6R6C75yO4aQ8-Fqh/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown,Karina,,Underscore Native News,2022,"Gaps in Education, Communication and Training Hinder Police Response to Indigenous Cases - Oregon's police training academy is crafting curriculum to address the gaps, while a tribal police chief calls for law enforcement to receive more comprehensive historical education","Portland, Multnomah, OR","OR; Portland, Multnomah, OR",18-Jul,,,N/A,Web-Only Source,https://drive.google.com/file/d/17SgBz9DiH0qGSSho_iFbE-uwLV9MaPo9/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown,Karina,,Underscore Native News,2022,"MMIP: Beyond the Reservation - While the national discussion surrounding this issue often focuses on reservations, the majority of Native Americans live in cities and also experience high rates of violence. In Portland, home to one of the country's largest urban Indigenous populations, the city's tribal relations director is spearheading efforts to tackle the problem","Portland, Multnomah, OR","OR; Portland, Multnomah, OR; Confederated Tribes of the Umatilla Reservation; National; Seattle, King, WA",18-Jul,,,N/A,Web-Only Source,https://drive.google.com/file/d/120F7dWKXV7h-qeSfAzllX9LRcSyFzwRO/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dole,Bryce,Zack Demars,Underscore Native News,2022,"Justice Lags for Indigenous Survivors of Violence - For Indigenous families, the struggle to prosecute crimes committed by non-Natives on tribal land has created lasting trauma","Portland, Multnomah, OR","Confederated Tribes of the Umatilla Reservation; Blue Mountains, OR; OR; OK; WA; Warm Springs Indian Reservation; Yakama Reservation; Pendleton, Umatilla, OR",16-Jul,,,N/A,Web-Only Source,https://drive.google.com/file/d/1xcViPo2B6fYpMFZd40LuDB1fu_JpeL5t/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dole,Bryce,Zack Demars,Underscore Native News,2022,"Indigenous Survivors: Voices of Resilience - Three Indigenous women in Oregon, all survivors of violence who have become advocates in the footsteps of Desireé Coyote, share their personal stories in an effort to inspire and help other survivors","Portland, Multnomah, OR","OR; National; Confederated Tribes of the Umatilla Reservation; Warm Springs Reservation; Pilot Rock, OR; Madras, Jefferson, OR; Pendleton, Umatilla, OR",10-Jul,,,N/A,Web-Only Source,https://drive.google.com/file/d/1GN2yUZIUggEaLNj4OYe64HAU_8iJXWQ5/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaland,Chris,,Underscore Native News,2022,"Portland Hosts Week of Events to Raise Awareness for Missing and Murdered Indigenous People - As conversation shifts to prevention and intervention, events on May 2-6 include virtual powwows and panels, discussions on law enforcement, proclamations and an in-person community gathering at South Hawthorne Waterfront Park","Portland, Multnomah, OR","Portland, Multnomah, OR; OR; National",2-May,,,N/A,Web-Only Source,https://drive.google.com/file/d/1F2impSN3ohTzqpVTSVeVjDTbJ5MMyo1i/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaland,Chris,,Underscore Native News,2022,"Washington Governor Signs Bill Creating First Missing Indigenous Persons Alert System - Following a March 31 signing ceremony attended by tribal leaders, community members and lawmakers, the new legislation will require statewide alerts similar to when a minor or vulnerable adult goes missing","Portland, Multnomah, OR","WA; National; Seattle, King, WA; Toppenish, Yakima, WA",31-Mar,,,N/A,Web-Only Source,https://drive.google.com/file/d/1U9mCtfVtfv46mkcoBF1aStg7DOs8fSLY/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bull,Brian,,Underscore Native News,2021,"Two Years After Oregon's MMIWG Legislation, Next Steps Unclear - The COVID-19 pandemic and mismatched databases confound efforts to address failures investigating Missing and Murdered Indigenous Women and Girls. Wednesday is a national day of action","Portland, Multnomah, OR","OR; Warm Springs Reservation; National; Canada; CA; Confederated Salish and Kootenai Tribes of the Flathead Reservation; Gallup, McKinley, NM; Confederated Tribes of Umatilla Indian Reservation; Eugene, Lane, OR",4-May,,,N/A,Web-Only Source,https://drive.google.com/file/d/1rKb_CuDHonxq5zWsHwx3phL8SLfXV77E/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bull,Brian,,Underscore Native News,2020,Allied Forces,"Portland, Multnomah, OR","Eugene, Lane, OR; National; Warm Springs Indian Reservation",28-Jul,,,N/A,Web-Only Source,https://drive.google.com/file/d/1bZ2uDtYNmbcXZYXWJ_7fe3vn-5ZQXNX9/view?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
